R,0,0,9920	
R,0,1,10385	
R,0,10,14570	
R,0,11,15035	
R,0,12,15500	
R,0,13,15965	
R,0,14,16430	
R,0,15,16895	
R,0,16,17360	
R,0,17,17825	
R,0,18,18290	
R,0,19,18755	
R,0,2,10850	
R,0,3,11315	
R,0,4,11780	
R,0,5,12245	
R,0,6,12710	
R,0,7,13175	
R,0,8,13640	
R,0,9,14105	
R,1,0,10415	
R,1,1,10910	
R,1,10,15365	
R,1,11,15860	
R,1,12,16355	
R,1,13,16850	
R,1,14,17345	
R,1,15,17840	
R,1,16,18335	
R,1,17,18830	
R,1,18,19325	
R,1,19,19820	
R,1,2,11405	
R,1,3,11900	
R,1,4,12395	
R,1,5,12890	
R,1,6,13385	
R,1,7,13880	
R,1,8,14375	
R,1,9,14870	
R,10,0,14870	
R,10,1,15635	
R,10,10,22520	
R,10,11,23285	
R,10,12,24050	
R,10,13,24815	
R,10,14,25580	
R,10,15,26345	
R,10,16,27110	
R,10,17,27875	
R,10,18,28640	
R,10,19,29405	
R,10,2,16400	
R,10,3,17165	
R,10,4,17930	
R,10,5,18695	
R,10,6,19460	
R,10,7,20225	
R,10,8,20990	
R,10,9,21755	
R,11,0,15365	
R,11,1,16160	
R,11,10,23315	
R,11,11,24110	
R,11,12,24905	
R,11,13,25700	
R,11,14,26495	
R,11,15,27290	
R,11,16,28085	
R,11,17,28880	
R,11,18,29675	
R,11,19,30470	
R,11,2,16955	
R,11,3,17750	
R,11,4,18545	
R,11,5,19340	
R,11,6,20135	
R,11,7,20930	
R,11,8,21725	
R,11,9,22520	
R,12,0,15860	
R,12,1,16685	
R,12,10,24110	
R,12,11,24935	
R,12,12,25760	
R,12,13,26585	
R,12,14,27410	
R,12,15,28235	
R,12,16,29060	
R,12,17,29885	
R,12,18,30710	
R,12,19,31535	
R,12,2,17510	
R,12,3,18335	
R,12,4,19160	
R,12,5,19985	
R,12,6,20810	
R,12,7,21635	
R,12,8,22460	
R,12,9,23285	
R,13,0,16355	
R,13,1,17210	
R,13,10,24905	
R,13,11,25760	
R,13,12,26615	
R,13,13,27470	
R,13,14,28325	
R,13,15,29180	
R,13,16,30035	
R,13,17,30890	
R,13,18,31745	
R,13,19,32600	
R,13,2,18065	
R,13,3,18920	
R,13,4,19775	
R,13,5,20630	
R,13,6,21485	
R,13,7,22340	
R,13,8,23195	
R,13,9,24050	
R,14,0,16850	
R,14,1,17735	
R,14,10,25700	
R,14,11,26585	
R,14,12,27470	
R,14,13,28355	
R,14,14,29240	
R,14,15,30125	
R,14,16,31010	
R,14,17,31895	
R,14,18,32780	
R,14,19,33665	
R,14,2,18620	
R,14,3,19505	
R,14,4,20390	
R,14,5,21275	
R,14,6,22160	
R,14,7,23045	
R,14,8,23930	
R,14,9,24815	
R,15,0,17345	
R,15,1,18260	
R,15,10,26495	
R,15,11,27410	
R,15,12,28325	
R,15,13,29240	
R,15,14,30155	
R,15,15,31070	
R,15,16,31985	
R,15,17,32900	
R,15,18,33815	
R,15,19,34730	
R,15,2,19175	
R,15,3,20090	
R,15,4,21005	
R,15,5,21920	
R,15,6,22835	
R,15,7,23750	
R,15,8,24665	
R,15,9,25580	
R,16,0,17840	
